id;tit;u1;sty;cou;lan;btr
89565;#/g/punk radio;http://cyberadio.pw:8000/stream;cyberpunk,g;;;128
95059;#/g/punk radio;http://cyberadio.pw:8000/stream;Meme,Chan,Lain,Cyberpunk;United States of America;;128
94588;#PopHits;http://listen.radionomy.com/-pophits.m3u;top 40,pop,hits;Colombia;Spanish;128
95482;(RFE/RL for Iraq, ch. 12) إذاعة العراق الحر;http://rfe12.akacast.akamaistream.net/7/896/437770/v1/ibb.akacast.akamaistream.net/rfe12.m3u;news,Prague,RFE-RL;Czech Republic;Arabic;0
89880;.977 80s Channel;http://7579.live.streamtheworld.com:80/977_80_SC;.977,music,oldies,80s;United States of America;English;128
89889;.977 90s;http://www.977music.com/itunes/90s.pls;.977,oldies,90s,music;United States of America;English;0
89883;.977 Alternative;http://www.977music.com/itunes/alternative.pls;.977,music,alternaive pop,alternative rock;United States of America;English;0
89882;.977 Classic Rock;http://7609.live.streamtheworld.com:80/977_CLASSROCKAAC_SC;.977,music,Rock,Classic Rock;United States of America;English;64
89888;.977 Comedy;http://www.977music.com/itunes/comedy.pls;comedy,.977;United States of America;English;0
89884;.977 Country;http://www.977music.com/977hicountry.pls;music,country,.977;United States of America;English;0
89879;.977 Hitz Channel;http://7619.live.streamtheworld.com:80/977_HITS_SC;.977,top 40,hits;United States of America;English;128
89887;.977 Jamz;http://www.977music.com/itunes/jamz.pls;.977,jamz;United States of America;English;0
89881;.977 Oldies Channel;http://www.977music.com/itunes/oldies.pls;.977,music,oldies;United States of America;English;0
89885;.977 Smooth Jazz Channel;http://www.977music.com/itunes/jazz.pls;.977,music,jazz,Smooth Jazz;United States of America;English;0
89886;.977 The Mix Channel;http://www.977music.com/itunes/mix.pls;.977,music,hits,today,90s,80s;United States of America;English;0
96783;/K/ommando Radio;https://murdercube.com:8080/stream;k,firearms;;;128
95106;06AM Ibiza Underground;http://neon.wavestreamer.com:3540/listen.pls;tech house,minimal techno,deep techno,electronic,techno;Spain;English;96
91852;1 Brighton FM - 101.4;http://listen.1brightonfm.co.uk:10000/obfm.m3u;community radio,brighton,variety,non-profit,music;United Kingdom;English;64
90267;1 Business Radio;http://www.1br.lv:8000/1BusinessRadio.mp3;business news;Latvia;Latvian;128
95354;1 Hits70s;http://listen.radionomy.com/1hits70s.m3u;1970s,70s;Spain;Spanish;128
87891;1-й Национальный канал;http://video.tvr.by:1935/radio/radio1/playlist.m3u8;Belarusian music,Belarusian news,Belarusian state radio,Belarus;Belarus;Belarusian;0
94262;1.FM - A List 80s;http://strm112.1.fm/back280s_mobile_mp3;1980s,80s;Switzerland;English;128
94255;1.FM - Absolute 70's Pop Radio;http://strm112.1.fm/70s_mobile_mp3;1970s,70s;Switzerland;English;64
94264;1.FM - Absolute 90s Party Zone Radio;http://strm112.1.fm/partyzone90s_mobile_mp3;1990s,90s;Switzerland;English;128
94254;1.FM - Absolute Country Hits Radio;http://strm112.1.fm/acountry_mobile_mp3;country;Switzerland;English;128
94292;1.FM - Absolute Pop Latino Radio;http://strm112.1.fm/latino_mobile_mp3;pop,latin;Switzerland;English;64
94260;1.FM - Absolute TOP 40 Radio;http://strm112.1.fm/top40_mobile_mp3;top 40,pop;Switzerland;English;128
94252;1.FM - Absolute Trance (Euro) Radio;http://strm112.1.fm/trance_mobile_mp3;trance;Switzerland;English;64
94303;1.FM - Acappella Radio;http://strm112.1.fm/acpl_mobile_mp3;gospel;Switzerland;English;64
94253;1.FM - Adore Jazz Radio;http://strm112.1.fm/ajazz_mobile_mp3;jazz;Switzerland;English;128
94266;1.FM - Adult Urban Hits Choice Radio;http://strm112.1.fm/oldschool_mobile_mp3;urban adult contemporary,soul,rnb;Switzerland;English;64
94278;1.FM - Afterbeat Electronica Radio;http://strm112.1.fm/electronica_mobile_mp3;chill;Switzerland;English;128
